nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
10680	1271348418	87	1033	0x20008e3c	992591	536907324
10710	1271354238	94	813	0x200fbe3c	14966	537902652
10740	1271360152	8	749	0x200f7d1d	34612	537885981
10770	1271366139	35	986	0x200f5649	82	537876041
10800	1271372129	24	903	0x200fb353	4294957066	537899859
10830	1271377878	0	690	0x200f9cc0	14652	537894080
10860	1271384003	34	948	0x2010133f	4294945134	537924415
10890	1271390164	49	992	0x200fb80a	3380	537901066
10920	1271396188	77	841	0x200f8480	28202	537887872
10950	1271402433	52	1002	0x20100c4d	4294931991	537922637
10980	1271408569	15	1137	0x20102f70	4294954888	537931632
11010	1271414544	20	766	0x200f47f0	4294928180	537872368
11040	1271420630	50	1003	0x200f8a39	4294955520	537889337
11070	1271426459	15	729	0x200fb834	9353	537901108
11100	1271432798	64	936	0x200f0ef0	60141	537857776
11130	1271438965	100	1026	0x200f5fb8	4294952982	537878456
11160	1271444920	8	782	0x200fed0d	4294949307	537914637
11190	1271451075	21	930	0x2010047d	4294899121	537920637
11220	1271456978	51	746	0x200f9c58	4294962616	537893976
11250	1271463033	46	745	0x1f046cb5	17521357	520383669
11280	1271469140	14	887	0x200f7b25	4294881555	537885477
11310	1271474864	61	671	0x20008961	993637	536906081
11340	1271481093	54	977	0x200ff873	4294929194	537917555
11370	1271487179	49	1037	0x20100413	4294906336	537920531
11400	1271493234	31	880	0x200fd60e	4294961965	537908750
11430	1271499422	98	985	0x200faa84	29220	537897604
11460	1271505287	17	736	0x200fce69	4294966398	537906793
11490	1271511252	66	905	0x200fec15	4294957560	537914389
11520	1271517203	67	901	0x200f0615	4294953989	537855509
11550	1271523121	32	813	0x200f5eae	4294960223	537878190
11580	1271528996	94	746	0x200f715d	4294961673	537882973
11610	1271535160	42	994	0x200fb11e	4294959153	537899294
11640	1271541365	71	868	0x200e4e9e	133601	537808542
11670	1271547133	58	742	0x200f1971	4969	537860465
