nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
6630	1269877473	-43	-756	0x14009d92	5087	335584658
6660	1269880797	-95	-793	0x140084fe	2980	335578366
6690	1269883895	-99	-817	0x136b16c4	971333	325785284
6720	1269886894	-78	-993	0x13578a61	713672	324504161
6750	1269889940	-50	-704	0x134404ac	638026	323224748
6780	1269892772	-64	-1013	0x13366c08	466209	322333704
6810	1269895727	-97	-1017	0x132b30c2	354878	321597634
6840	1269898682	-91	-850	0x13213185	360386	320942469
6870	1269901983	-16	-744	0x131c173f	164167	320608063
6900	1269904850	0	-989	0x131608da	212256	320211162
6930	1269907789	-87	-928	0x13117b85	149477	319912837
6960	1269910660	-84	-953	0x130db2f3	118391	319664883
6990	1269913858	-25	-716	0x130ae072	84398	319479922
7020	1269916925	-1	-787	0x1308cc27	77043	319343655
7050	1269919760	-66	-864	0x1306e537	73480	319218999
7080	1269922669	-26	-958	0x13056c12	56361	319122450
7110	1269925980	-41	-699	0x130479af	30868	319060399
7140	1269928948	-69	-953	0x1303ae4a	28217	319008330
7170	1269932075	-86	-756	0x1302f1d7	18771	318960087
7200	1269935281	-68	-800	0x130268af	18777	318924975
7230	1269938511	-50	-850	0x1301fadd	15433	318896861
7260	1269941592	-49	-896	0x13019c15	13594	318872597
7290	1269944768	-24	-686	0x13014b44	11211	318851908
7320	1269947835	-76	-881	0x13010f11	8956	318836497
7350	1269950956	-76	-862	0x1300db56	7014	318823254
7380	1269953835	-9	-884	0x1300a9a6	7529	318810534
7410	1269956775	-65	-892	0x130088ad	4847	318802093
7440	1269959757	-82	-859	0x126bab3e	1022419	309046078
7470	1269962782	-66	-840	0x1255d8eb	800711	307615979
7500	1269965710	-44	-837	0x12430106	699125	306381062
7530	1269968649	-64	-979	0x1236d6ba	433348	305583802
7560	1269971666	-68	-880	0x122b0eb5	368063	304811701
7590	1269974817	-69	-628	0x12228a71	251347	304253553
7620	1269977850	-68	-816	0x121bc508	239214	303809800
7650	1269980959	-76	-786	0x1216c222	161138	303481378
7680	1269983903	-75	-946	0x1211e6c7	171647	303163079
7710	1269987046	-79	-807	0x120e8c3d	118103	302943293
7740	1269989846	-1	-964	0x120b65c8	114797	302736840
7770	1269992734	-67	-868	0x1208e9cf	81263	302574031
7800	1269995410	-27	-1243	0x1206e545	74805	302441797
7830	1269998386	-66	-937	0x12055a3c	50056	302340668
